import time: self [us] | cumulative | imported package
import time:       786 |      16166 |                             numpy.random._pickle
import time:       965 |      24707 |                           numpy.random
import time:      1072 |       1072 |                             numpy.fft._helper
import time:      1399 |       1399 |                               numpy.fft._pocketfft_umath
import time:      1805 |       3203 |                             numpy.fft._pocketfft
import time:      1017 |       5291 |                           numpy.fft
import time:       895 |        895 |                           numpy.rec
import time:       695 |        695 |                             numpy.core._utils
import time:       684 |       1378 |                           numpy.core
import time:      1466 |       1466 |                             numpy._core.defchararray
import time:       536 |       2001 |                           numpy.char
import time:      1010 |       1010 |                             numpy.f2py.diagnose
import time:      3073 |       3073 |                               pprint
import time:      1864 |       1864 |                               numpy.f2py._backends
import time:      1044 |       1044 |                               numpy.f2py.__version__
import time:      1196 |       1196 |                                 numpy.f2py.cfuncs
import time:      3638 |       4833 |                               numpy.f2py.auxfuncs
import time:      7115 |       7115 |                                 numpy.f2py.cb_rules
import time:       684 |        684 |                                 numpy.f2py._isocbind
import time:      1965 |       1965 |                                   fileinput
import time:      1372 |       1372 |                                         81d243bd2c585b0f4821__mypyc
import time:      5582 |       5582 |                                         charset_normalizer.constant
import time:       281 |        281 |                                           unicodedata
import time:       636 |        636 |                                           _multibytecodec
import time:      1626 |       2543 |                                         charset_normalizer.utils
import time:      1375 |       1375 |                                         charset_normalizer.models
import time:      2419 |      13289 |                                       charset_normalizer.cd
import time:       124 |        124 |                                       _codecs_tw
import time:       145 |        145 |                                       _codecs_hk
import time:       129 |        129 |                                       _codecs_jp
import time:       103 |        103 |                                       _codecs_kr
import time:       142 |        142 |                                       _codecs_cn
import time:       154 |        154 |                                       _codecs_iso2022
import time:    142837 |     156918 |                                     charset_normalizer.api
import time:       523 |        523 |                                     charset_normalizer.legacy
import time:       365 |        365 |                                     charset_normalizer.version
import time:       997 |     158802 |                                   charset_normalizer
import time:      5525 |       5525 |                                   numpy.f2py.symbolic
import time:     46266 |     212556 |                                 numpy.f2py.crackfortran
import time:      2503 |     222856 |                               numpy.f2py.capi_maps
import time:       771 |        771 |                                 numpy.f2py.func2subr
import time:      1472 |       2243 |                               numpy.f2py.f90mod_rules
import time:       712 |        712 |                                 numpy.f2py.common_rules
import time:       437 |        437 |                                 numpy.f2py.use_rules
import time:     22776 |      23924 |                               numpy.f2py.rules
import time:      2747 |     262581 |                             numpy.f2py.f2py2e
import time:      1116 |     264706 |                           numpy.f2py
import time:      1488 |       1488 |                                 unittest.util
import time:      1610 |       3097 |                               unittest.result
import time:      3233 |       3233 |                                 difflib
import time:      4366 |       7599 |                               unittest.case
import time:      1303 |       1303 |                               unittest.suite
import time:      3298 |       3298 |                               unittest.loader
import time:       710 |        710 |                                   unittest.signals
import time:      1243 |       1952 |                                 unittest.runner
import time:      1178 |       3130 |                               unittest.main
import time:       728 |      19153 |                             unittest
import time:       650 |        650 |                             numpy.testing._private
import time:       393 |        393 |                             numpy.testing.overrides
import time:       638 |        638 |                             numpy.testing._private.extbuild
import time:       305 |        305 |                               gc
import time:      4697 |       5001 |                             numpy.testing._private.utils
import time:       956 |      26788 |                           numpy.testing
import time:     31358 |      31358 |                             numpy.ma.core
import time:      3866 |       3866 |                             numpy.ma.extras
import time:      1182 |      36405 |                           numpy.ma
import time:      1733 |       1733 |                             numpy.ctypeslib._ctypeslib
import time:       799 |       2532 |                           numpy.ctypeslib
import time:      5164 |       5164 |                             scipy._lib.array_api_compat.common._aliases
import time:       735 |        735 |                             scipy._lib.array_api_compat.numpy._typing
import time:      6102 |      12000 |                           scipy._lib.array_api_compat.numpy._aliases
import time:       864 |        864 |                           scipy._lib.array_api_compat.numpy._info
import time:      3157 |       3157 |                             scipy._lib.array_api_compat.common._linalg
import time:      2572 |       5729 |                           scipy._lib.array_api_compat.numpy.linalg
import time:      1046 |       1046 |                             scipy._lib.array_api_compat.common._fft
import time:      2736 |       3781 |                           scipy._lib.array_api_compat.numpy.fft
import time:      4376 |     409347 |                         scipy._lib.array_api_compat.numpy
import time:       620 |        620 |                               scipy._lib.array_api_extra._lib
import time:       806 |        806 |                                   scipy._lib.array_api_extra._lib._utils
import time:       531 |        531 |                                         scipy._lib._sparse
import time:      1131 |       1662 |                                       scipy._lib._array_api_override
import time:       414 |       2075 |                                     scipy._lib._array_api_compat_vendor
import time:       833 |       2908 |                                   scipy._lib.array_api_extra._lib._utils._compat
import time:       551 |        551 |                                     scipy._lib.array_api_extra._lib._utils._typing
